num_nodes,p,noise_scale,rank_correl,wealth gini,gini- directly connected,gini- not directly connected,gini- weakly connected,gini- not weakly connected,gini- income-wealth match,gini- no income wealth match
10,0.2,0.1,0.8181818181818182,412192.44444444444,408087.1111111111,404537.9736842105,387923.72222222225,509267.3333333333,408087.1111111111,
10,0.2,0.1,0.7939393939393938,355803.1111111111,263452.77777777775,357246.0512820513,329693.724137931,403126.375,291189.5,41559.0
10,0.2,0.1,0.6363636363636362,363275.15555555554,284691.9,368902.2894736842,364843.6111111111,357001.3333333333,284691.9,
10,0.2,0.1,0.6848484848484848,337483.06666666665,444458.25,333574.8,335581.8888888889,345087.77777777775,491856.71428571426,112669.0
10,0.2,0.1,0.8787878787878788,364881.77777777775,267580.8,378868.3,375128.5517241379,346309.5,267580.8,
10,0.2,0.1,0.5878787878787878,311146.1111111111,368382.3333333333,293800.15789473685,343236.4482758621,252982.375,397987.125,131544.0
10,0.2,0.1,0.6606060606060605,292203.8888888889,303318.4285714286,292203.8888888889,323302.5714285714,264992.5416666667,303318.4285714286,
10,0.2,0.25,0.6484848484848483,276723.6222222222,310869.6,287712.36842105264,276723.6222222222,,360967.75,110477.0
10,0.2,0.25,0.9272727272727272,407592.6,473517.5714285714,418826.1666666667,407592.6,,473517.5714285714,
10,0.2,0.25,0.7333333333333332,351573.3333333333,365069.3,335534.9069767442,393423.3214285714,282643.9411764706,397570.6666666667,72557.0
10,0.2,0.25,-0.11515151515151514,216470.86666666667,136638.72727272726,230970.02631578947,145584.89285714287,333224.23529411765,166740.75,119437.57142857143
10,0.2,0.25,0.6727272727272726,253188.9111111111,230892.2,250083.27906976745,304287.625,242140.54054054053,230892.2,
10,0.2,0.25,0.4424242424242424,368577.55555555556,276155.4166666667,386991.60975609755,383884.55555555556,307349.55555555556,328155.7,16154.0
10,0.2,0.25,0.6242424242424242,383000.4,347598.0,389096.90476190473,383000.4,,380945.3333333333,47472.0
10,0.2,0.25,0.7696969696969697,318157.84444444446,352056.0,317813.4090909091,368026.3333333333,284912.18518518517,352056.0,
10,0.2,0.25,0.5515151515151515,292112.26666666666,196236.16666666666,293853.225,308493.1111111111,226588.88888888888,196236.16666666666,
10,0.2,0.25,0.05454545454545454,378345.68888888886,331815.0,389978.3611111111,373300.5,398526.44444444444,514078.2,103986.0
10,0.2,0.5,0.406060606060606,296189.06666666665,286599.4,297200.20930232556,331597.7272727273,284733.32352941175,340251.5,71991.0
10,0.2,0.5,0.6121212121212121,272929.1111111111,303855.0,273413.243902439,291302.0,199437.55555555556,347565.0,129015.0
10,0.2,0.5,0.6,287701.97777777776,328752.45454545453,285808.875,287701.97777777776,,350438.3333333333,231166.0
10,0.2,0.5,0.41818181818181815,316812.02222222224,400082.8888888889,297589.40476190473,328174.8888888889,271360.55555555556,454958.8333333333,290331.0
10,0.2,0.5,0.29696969696969694,304163.73333333334,284556.5,303480.28205128206,304163.73333333334,,264357.0,335055.25
10,0.2,0.5,0.5272727272727272,302313.73333333334,237174.22222222222,325039.7297297297,324086.94444444444,215220.88888888888,260788.0,48264.0
10,0.2,0.5,0.7818181818181817,273420.44444444444,296418.0833333333,266752.575,279148.6666666667,250507.55555555556,338897.7,84020.0
10,0.2,0.5,0.33333333333333326,314167.97777777776,363972.4,314601.0714285714,346252.54545454547,303787.67647058825,359596.6666666667,370536.0
10,0.2,0.5,0.6484848484848483,196356.42222222223,177511.83333333334,199220.4054054054,209314.24137931035,172870.375,202627.44444444444,102165.0
10,0.2,0.5,0.22424242424242422,236698.26666666666,128487.75,242342.57142857142,234617.42857142858,237081.57894736843,145365.5,111610.0
10,0.35,0.0,0.8545454545454544,355860.44444444444,471615.875,366709.0714285714,355860.44444444444,,471615.875,
